No.,name_th,name_en,zipcode_prefix,region
1,กรุงเทพมหานคร,Bangkok,10,กลาง 
60,สมุทรปราการ,Samut Prakan,10,กลาง 
24,นนทบุรี,Nonthaburi,11,กลาง 
29,ปทุมธานี,Pathum Thani,12,กลาง 
33,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,13,กลาง 
72,อ่างทอง,Ang Thong,14,กลาง 
52,ลพบุรี,Lopburi,15,กลาง 
65,สิงห์บุรี,Sing Buri,16,กลาง 
10,ชัยนาท,Chai Nat,17,กลาง 
64,สระบุรี,Saraburi,18,กลาง 
9,ชลบุรี,Chonburi,20,ตะวันออก
50,ระยอง,Rayong,21,ตะวันออก
7,จันทบุรี,Chanthaburi,22,ตะวันออก
16,ตราด,Trat,23,ตะวันออก
8,ฉะเชิงเทรา,Chachoengsao,24,ตะวันออก
31,ปราจีนบุรี,Prachinburi,25,ตะวันออก
18,นครนายก,Nakhon Nayok,26,กลาง 
63,สระแก้ว,Sa Kaeo,27,ตะวันออก
21,นครราชสีมา,Nakhon Ratchasima,30,ตะวันออกเฉียงเหนือ
28,บุรีรัมย์,Buriram,31,ตะวันออกเฉียงเหนือ
69,สุรินทร์,Surin,32,ตะวันออกเฉียงเหนือ
56,ศรีสะเกษ,Sisaket,33,ตะวันออกเฉียงเหนือ
77,อุบลราชธานี,Ubon Ratchathani,34,ตะวันออกเฉียงเหนือ
46,ยโสธร,Yasothon,35,ตะวันออกเฉียงเหนือ
11,ชัยภูมิ,Chaiyaphum,36,ตะวันออกเฉียงเหนือ
73,อำนาจเจริญ,Amnat Charoen,37,ตะวันออกเฉียงเหนือ
27,บึงกาฬ,Bueng Kan,38,ตะวันออกเฉียงเหนือ
71,หนองบัวลำภู,Nong Bua Lam Phu,39,ตะวันออกเฉียงเหนือ
6,ขอนแก่น,Khon Kaen,40,ตะวันออกเฉียงเหนือ
74,อุดรธานี,Udon Thani,41,ตะวันออกเฉียงเหนือ
55,เลย,Loei,42,ตะวันออกเฉียงเหนือ
70,หนองคาย,Nong Khai,43,ตะวันออกเฉียงเหนือ
43,มหาสารคาม,Maha Sarakham,44,ตะวันออกเฉียงเหนือ
48,ร้อยเอ็ด,Roi Et,45,ตะวันออกเฉียงเหนือ
4,กาฬสินธุ์,Kalasin,46,ตะวันออกเฉียงเหนือ
57,สกลนคร,Sakon Nakhon,47,ตะวันออกเฉียงเหนือ
20,นครพนม,Nakhon Phanom,48,ตะวันออกเฉียงเหนือ
44,มุกดาหาร,Mukdahan,49,ตะวันออกเฉียงเหนือ
14,เชียงใหม่,Chiang Mai,50,เหนือ
54,ลำพูน,Lamphun,51,เหนือ
53,ลำปาง,Lampang,52,เหนือ
75,อุตรดิตถ์,Uttaradit,53,เหนือ
41,แพร่,Phrae,54,เหนือ
26,น่าน,Nan,55,เหนือ
34,พะเยา,Phayao,56,เหนือ
13,เชียงราย,Chiang Rai,57,เหนือ
45,แม่ฮ่องสอน,Mae Hong Son,58,เหนือ
23,นครสวรรค์,Nakhon Sawan,60,กลาง 
76,อุทัยธานี,Uthai Thani,61,กลาง 
5,กำแพงเพชร,Kamphaeng Phet,62,กลาง 
17,ตาก,Tak,63,ตะวันตก
66,สุโขทัย,Sukhothai,64,กลาง 
38,พิษณุโลก,Phitsanulok,65,กลาง 
37,พิจิตร,Phichit,66,กลาง 
40,เพชรบูรณ์,Phetchabun,67,กลาง 
51,ราชบุรี,Ratchaburi,70,ตะวันตก
3,กาญจนบุรี,Kanchanaburi,71,ตะวันตก
67,สุพรรณบุรี,Suphan Buri,72,กลาง 
19,นครปฐม,Nakhon Pathom,73,กลาง 
62,สมุทรสาคร,Samut Sakhon,74,กลาง 
61,สมุทรสงคราม,Samut Songkhram,75,กลาง 
39,เพชรบุรี,Phetchaburi,76,ตะวันตก
30,ประจวบคีรีขันธ์,Prachuap Khiri Khan,77,ตะวันตก
22,นครศรีธรรมราช,Nakhon Si Thammarat,80,ใต้
2,กระบี่,Krabi,81,ใต้
35,พังงา,Phang Nga,82,ใต้
42,ภูเก็ต,Phuket,83,ใต้
68,สุราษฎร์ธานี,Surat Thani,84,ใต้
49,ระนอง,Ranong,85,ใต้
12,ชุมพร,Chumphon,86,ใต้
58,สงขลา,Songkhla,90,ใต้
59,สตูล,Satun,91,ใต้
15,ตรัง,Trang,92,ใต้
36,พัทลุง,Phatthalung,93,ใต้
32,ปัตตานี,Pattani,94,ใต้
47,ยะลา,Yala,95,ใต้
25,นราธิวาส,Narathiwat,96,ใต้
