name_th,subtype_text,subtype,remark
วิทยาลัยวิทยาศาสตร์การแพทย์เจ้าฟ้าจุฬาภรณ์,Colleges,1,
วิทยาลัยเฉลิมกาญจนาระยอง,Colleges,1,
วิทยาลัยเชียงราย,Colleges,1,
วิทยาลัยเซนต์หลุยส์,Colleges,1,
วิทยาลัยเซาธ์อีสท์บางกอก,Colleges,1,
วิทยาลัยดุสิตธานี,Colleges,1,
วิทยาลัยทองสุข,Colleges,1,
วิทยาลัยเทคโนโลยีพนมวันท์,Colleges,1,
วิทยาลัยเทคโนโลยีภาคใต้,Colleges,1,
วิทยาลัยเทคโนโลยีสยาม,Colleges,1,
วิทยาลัยนครราชสีมา,Colleges,1,
วิทยาลัยนอร์ทเทิร์น,Colleges,1,
วิทยาลัยนานาชาติเซนต์เทเรซา,Colleges,1,
วิทยาลัยนานาชาติราฟเฟิลส์,Colleges,1,
วิทยาลัยบัณฑิตเอเซีย,Colleges,1,
วิทยาลัยพิชญบัณฑิต,Colleges,1,
วิทยาลัยพุทธศาสนานานาชาติ,Colleges,1,
วิทยาลัยสันตพล,Colleges,1,
วิทยาลัยแสงธรรม,Colleges,1,
วิทยาลัยอินเตอร์เทคลำปาง,Colleges,1,
สถาบันอาศรมศิลป์,Colleges,1,
วิทยาลัยการชลประทาน,Others,2,
สถาบันการบินพลเรือน,Others,2,
สถาบันการพลศึกษา,Others,2,
สถาบันบัณฑิตพัฒนศิลป์,Others,2,
สถาบันพระบรมราชชนก,Others,2,
สถาบันการอาชีวศึกษาเกษตรภาคเหนือ,Others,2,
สถาบันการอาชีวศึกษาเกษตรภาคใต้,Others,2,
สถาบันการอาชีวศึกษาเกษตรภาคกลาง,Others,2,
สถาบันการอาชีวศึกษาเกษตรภาคตะวันออกเฉียงเหนือ,Others,2,
สถาบันการอาชีวศึกษากรุงเทพมหานคร,Others,2,
สถาบันการอาชีวศึกษาภาคเหนือ ๑,Others,2,
สถาบันการอาชีวศึกษาภาคเหนือ ๒,Others,2,
สถาบันการอาชีวศึกษาภาคเหนือ ๓,Others,2,
สถาบันการอาชีวศึกษาภาคเหนือ ๔,Others,2,
สถาบันการอาชีวศึกษาภาคใต้ ๑,Others,2,
สถาบันการอาชีวศึกษาภาคใต้ ๒,Others,2,
สถาบันการอาชีวศึกษาภาคใต้ ๓,Others,2,
สถาบันการอาชีวศึกษาภาคกลาง ๑,Others,2,
สถาบันการอาชีวศึกษาภาคกลาง ๒,Others,2,
สถาบันการอาชีวศึกษาภาคกลาง ๓,Others,2,
สถาบันการอาชีวศึกษาภาคกลาง ๔,Others,2,
สถาบันการอาชีวศึกษาภาคกลาง ๕,Others,2,
สถาบันการอาชีวศึกษาภาคตะวันออก,Others,2,
สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ ๑,Others,2,
สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ ๒,Others,2,
สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ ๓,Others,2,
สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ ๔,Others,2,
สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ ๕,Others,2,
วิทยาลัยชุมชนตราด,Others,2,
วิทยาลัยชุมชนตาก,Others,2,
วิทยาลัยชุมชนนราธิวาส,Others,2,
วิทยาลัยชุมชนน่าน,Others,2,
